year,country,arrivals_millions
2008,France,65.96
2009,France,67.78
2010,France,69.6
2011,France,71.69999999999999
2012,France,73.8
2013,France,75.89999999999999
2014,France,78.0
2015,France,80.1
2016,France,71.75999999999999
2017,France,63.419999999999995
2018,France,55.08
2019,France,46.739999999999995
2020,France,38.4
2021,France,41.1
2022,France,43.8
2023,France,46.5
2024,France,49.2
2025,France,51.9
1980,Germany,10.8
1981,Germany,11.120000000000001
1982,Germany,11.440000000000001
1983,Germany,11.76
1984,Germany,12.08
1985,Germany,12.4
1986,Germany,12.780000000000001
1987,Germany,13.16
1988,Germany,13.540000000000001
1989,Germany,13.92
1990,Germany,14.3
1991,Germany,14.72
1992,Germany,15.14
1993,Germany,15.559999999999999
1994,Germany,15.979999999999999
1995,Germany,16.4
1996,Germany,16.9
1997,Germany,17.4
1998,Germany,17.9
1999,Germany,18.4
2000,Germany,18.9
2001,Germany,19.459999999999997
2002,Germany,20.02
2003,Germany,20.58
2004,Germany,21.14
2005,Germany,21.7
2006,Germany,22.36
2007,Germany,23.02
2008,Germany,23.68
2009,Germany,24.34
2010,Germany,25.0
2011,Germany,25.74
2012,Germany,26.48
2013,Germany,27.22
2014,Germany,27.96
2015,Germany,28.7
2016,Germany,25.72
2017,Germany,22.740000000000002
2018,Germany,19.76
2019,Germany,16.78
2020,Germany,13.8
2021,Germany,14.760000000000002
2022,Germany,15.72
2023,Germany,16.68
2024,Germany,17.64
2025,Germany,18.6
1980,Greece,5.2
1981,Greece,5.38
1982,Greece,5.56
1983,Greece,5.74
1984,Greece,5.92
1985,Greece,6.1
1986,Greece,6.3
1987,Greece,6.5
1988,Greece,6.699999999999999
1989,Greece,6.8999999999999995
1990,Greece,7.1
1991,Greece,7.34
1992,Greece,7.58
1993,Greece,7.82
1994,Greece,8.06
1995,Greece,8.3
1996,Greece,8.58
1997,Greece,8.86
1998,Greece,9.14
1999,Greece,9.42
2000,Greece,9.7
2001,Greece,10.04
2002,Greece,10.379999999999999
2003,Greece,10.719999999999999
2004,Greece,11.06
2005,Greece,11.4
2006,Greece,11.780000000000001
2007,Greece,12.16
2008,Greece,12.540000000000001
2009,Greece,12.92
2010,Greece,13.3
2011,Greece,13.76
2012,Greece,14.22
2013,Greece,14.68
2014,Greece,15.14
2015,Greece,15.6
2016,Greece,13.98
2017,Greece,12.36
2018,Greece,10.74
2019,Greece,9.120000000000001
2020,Greece,7.5
2021,Greece,8.02
2022,Greece,8.54
2023,Greece,9.059999999999999
2024,Greece,9.58
2025,Greece,10.1
1980,Italy,18.5
1981,Italy,19.02
1982,Italy,19.54
1983,Italy,20.060000000000002
1984,Italy,20.580000000000002
1985,Italy,21.1
1986,Italy,21.68
1987,Italy,22.26
1988,Italy,22.84
1989,Italy,23.42
1990,Italy,24.0
1991,Italy,24.68
1992,Italy,25.36
1993,Italy,26.04
1994,Italy,26.72
1995,Italy,27.4
1996,Italy,28.16
1997,Italy,28.919999999999998
1998,Italy,29.68
1999,Italy,30.439999999999998
2000,Italy,31.2
2001,Italy,32.08
2002,Italy,32.96
2003,Italy,33.84
2004,Italy,34.72
2005,Italy,35.6
2006,Italy,36.6
2007,Italy,37.6
2008,Italy,38.6
2009,Italy,39.6
2010,Italy,40.6
2011,Italy,41.74
2012,Italy,42.88
2013,Italy,44.019999999999996
2014,Italy,45.16
2015,Italy,46.3
2016,Italy,41.48
2017,Italy,36.66
2018,Italy,31.84
2019,Italy,27.02
2020,Italy,22.2
2021,Italy,23.759999999999998
2022,Italy,25.32
2023,Italy,26.88
2024,Italy,28.439999999999998
2025,Italy,30.0
1980,Japan,3.5
1981,Japan,3.62
1982,Japan,3.7399999999999998
1983,Japan,3.86
1984,Japan,3.9799999999999995
1985,Japan,4.1
1986,Japan,4.22
1987,Japan,4.34
1988,Japan,4.46
1989,Japan,4.58
1990,Japan,4.7
1991,Japan,4.86
1992,Japan,5.0200000000000005
1993,Japan,5.18
1994,Japan,5.34
1995,Japan,5.5
1996,Japan,5.66
1997,Japan,5.82
1998,Japan,5.9799999999999995
1999,Japan,6.14
2000,Japan,6.3
2001,Japan,6.52
2002,Japan,6.74
2003,Japan,6.96
2004,Japan,7.180000000000001
2005,Japan,7.4
2006,Japan,7.62
2007,Japan,7.84
2008,Japan,8.06
2009,Japan,8.28
2010,Japan,8.5
2011,Japan,8.78
2012,Japan,9.06
2013,Japan,9.34
2014,Japan,9.620000000000001
2015,Japan,9.9
2016,Japan,8.86
2017,Japan,7.82
2018,Japan,6.78
2019,Japan,5.74
2020,Japan,4.7
2021,Japan,5.04
2022,Japan,5.38
2023,Japan,5.720000000000001
2024,Japan,6.0600000000000005
2025,Japan,6.4
1980,Malaysia,2.1
1981,Malaysia,2.24
1982,Malaysia,2.38
1983,Malaysia,2.52
1984,Malaysia,2.66
1985,Malaysia,2.8
1986,Malaysia,2.98
1987,Malaysia,3.16
1988,Malaysia,3.34
1989,Malaysia,3.52
1990,Malaysia,3.7
1991,Malaysia,3.9400000000000004
1992,Malaysia,4.180000000000001
1993,Malaysia,4.42
1994,Malaysia,4.66
1995,Malaysia,4.9
1996,Malaysia,5.24
1997,Malaysia,5.58
1998,Malaysia,5.92
1999,Malaysia,6.26
2000,Malaysia,6.6
2001,Malaysia,7.02
2002,Malaysia,7.4399999999999995
2003,Malaysia,7.859999999999999
2004,Malaysia,8.28
2005,Malaysia,8.7
2006,Malaysia,9.28
2007,Malaysia,9.86
2008,Malaysia,10.44
2009,Malaysia,11.02
2010,Malaysia,11.6
2011,Malaysia,12.379999999999999
2012,Malaysia,13.16
2013,Malaysia,13.94
2014,Malaysia,14.719999999999999
2015,Malaysia,15.5
2016,Malaysia,13.88
2017,Malaysia,12.26
2018,Malaysia,10.64
2019,Malaysia,9.02
2020,Malaysia,7.4
2021,Malaysia,7.92
2022,Malaysia,8.44
2023,Malaysia,8.96
2024,Malaysia,9.48
2025,Malaysia,10.0
1980,Mexico,12.1
1981,Mexico,12.54
1982,Mexico,12.98
1983,Mexico,13.42
1984,Mexico,13.860000000000001
1985,Mexico,14.3
1986,Mexico,14.8
1987,Mexico,15.3
1988,Mexico,15.8
1989,Mexico,16.3
1990,Mexico,16.8
1991,Mexico,17.42
1992,Mexico,18.04
1993,Mexico,18.66
1994,Mexico,19.279999999999998
1995,Mexico,19.9
1996,Mexico,20.619999999999997
1997,Mexico,21.34
1998,Mexico,22.06
1999,Mexico,22.78
2000,Mexico,23.5
2001,Mexico,24.34
2002,Mexico,25.18
2003,Mexico,26.02
2004,Mexico,26.86
2005,Mexico,27.7
2006,Mexico,28.7
2007,Mexico,29.7
2008,Mexico,30.700000000000003
2009,Mexico,31.700000000000003
2010,Mexico,32.7
2011,Mexico,33.86
2012,Mexico,35.02
2013,Mexico,36.18
2014,Mexico,37.34
2015,Mexico,38.5
2016,Mexico,34.5
2017,Mexico,30.5
2018,Mexico,26.5
2019,Mexico,22.5
2020,Mexico,18.5
2021,Mexico,19.8
2022,Mexico,21.1
2023,Mexico,22.4
2024,Mexico,23.7
2025,Mexico,25.0
1980,Netherlands,6.0
1981,Netherlands,6.16
1982,Netherlands,6.32
1983,Netherlands,6.4799999999999995
1984,Netherlands,6.64
1985,Netherlands,6.8
1986,Netherlands,7.0
1987,Netherlands,7.2
1988,Netherlands,7.4
1989,Netherlands,7.6
1990,Netherlands,7.8
1991,Netherlands,8.02
1992,Netherlands,8.24
1993,Netherlands,8.46
1994,Netherlands,8.68
1995,Netherlands,8.9
1996,Netherlands,9.14
1997,Netherlands,9.38
1998,Netherlands,9.62
1999,Netherlands,9.86
2000,Netherlands,10.1
2001,Netherlands,10.4
2002,Netherlands,10.7
2003,Netherlands,11.0
2004,Netherlands,11.299999999999999
2005,Netherlands,11.6
2006,Netherlands,11.92
2007,Netherlands,12.24
2008,Netherlands,12.559999999999999
2009,Netherlands,12.879999999999999
2010,Netherlands,13.2
2011,Netherlands,13.559999999999999
2012,Netherlands,13.92
2013,Netherlands,14.28
2014,Netherlands,14.64
2015,Netherlands,15.0
2016,Netherlands,13.44
2017,Netherlands,11.879999999999999
2018,Netherlands,10.32
2019,Netherlands,8.76
2020,Netherlands,7.2
2021,Netherlands,7.7
2022,Netherlands,8.2
2023,Netherlands,8.7
2024,Netherlands,9.2
2025,Netherlands,9.7
1980,Portugal,4.7
1981,Portugal,4.86
1982,Portugal,5.0200000000000005
1983,Portugal,5.18
1984,Portugal,5.34
1985,Portugal,5.5
1986,Portugal,5.66
1987,Portugal,5.82
1988,Portugal,5.9799999999999995
1989,Portugal,6.14
1990,Portugal,6.3
1991,Portugal,6.5
1992,Portugal,6.7
1993,Portugal,6.9
1994,Portugal,7.1
1995,Portugal,7.3
1996,Portugal,7.54
1997,Portugal,7.78
1998,Portugal,8.02
1999,Portugal,8.26
2000,Portugal,8.5
2001,Portugal,8.78
2002,Portugal,9.06
2003,Portugal,9.34
2004,Portugal,9.620000000000001
2005,Portugal,9.9
2006,Portugal,10.22
2007,Portugal,10.540000000000001
2008,Portugal,10.86
2009,Portugal,11.18
2010,Portugal,11.5
2011,Portugal,11.86
2012,Portugal,12.22
2013,Portugal,12.58
2014,Portugal,12.940000000000001
2015,Portugal,13.3
2016,Portugal,11.92
2017,Portugal,10.540000000000001
2018,Portugal,9.16
2019,Portugal,7.78
2020,Portugal,6.4
2021,Portugal,6.84
2022,Portugal,7.28
2023,Portugal,7.72
2024,Portugal,8.16
2025,Portugal,8.6
1980,Russia,3.2
1981,Russia,3.3200000000000003
1982,Russia,3.44
1983,Russia,3.56
1984,Russia,3.6799999999999997
1985,Russia,3.8
1986,Russia,3.94
1987,Russia,4.08
1988,Russia,4.22
1989,Russia,4.36
1990,Russia,4.5
1991,Russia,4.66
1992,Russia,4.82
1993,Russia,4.9799999999999995
1994,Russia,5.14
1995,Russia,5.3
1996,Russia,5.4799999999999995
1997,Russia,5.66
1998,Russia,5.84
1999,Russia,6.0200000000000005
2000,Russia,6.2
2001,Russia,6.42
2002,Russia,6.64
2003,Russia,6.859999999999999
2004,Russia,7.08
2005,Russia,7.3
2006,Russia,7.56
2007,Russia,7.819999999999999
2008,Russia,8.08
2009,Russia,8.34
2010,Russia,8.6
2011,Russia,8.92
2012,Russia,9.24
2013,Russia,9.559999999999999
2014,Russia,9.879999999999999
2015,Russia,10.2
2016,Russia,9.139999999999999
2017,Russia,8.08
2018,Russia,7.02
2019,Russia,5.96
2020,Russia,4.9
2021,Russia,5.24
2022,Russia,5.58
2023,Russia,5.92
2024,Russia,6.26
2025,Russia,6.6
1980,Saudi Arabia,2.0
1981,Saudi Arabia,2.08
1982,Saudi Arabia,2.16
1983,Saudi Arabia,2.2399999999999998
1984,Saudi Arabia,2.32
1985,Saudi Arabia,2.4
1986,Saudi Arabia,2.52
1987,Saudi Arabia,2.64
1988,Saudi Arabia,2.76
1989,Saudi Arabia,2.88
1990,Saudi Arabia,3.0
1991,Saudi Arabia,3.12
1992,Saudi Arabia,3.24
1993,Saudi Arabia,3.3600000000000003
1994,Saudi Arabia,3.48
1995,Saudi Arabia,3.6
1996,Saudi Arabia,3.7600000000000002
1997,Saudi Arabia,3.9200000000000004
1998,Saudi Arabia,4.08
1999,Saudi Arabia,4.24
2000,Saudi Arabia,4.4
2001,Saudi Arabia,4.6000000000000005
2002,Saudi Arabia,4.800000000000001
2003,Saudi Arabia,5.0
2004,Saudi Arabia,5.2
2005,Saudi Arabia,5.4
2006,Saudi Arabia,5.640000000000001
2007,Saudi Arabia,5.88
2008,Saudi Arabia,6.12
2009,Saudi Arabia,6.359999999999999
2010,Saudi Arabia,6.6
2011,Saudi Arabia,6.88
2012,Saudi Arabia,7.16
2013,Saudi Arabia,7.4399999999999995
2014,Saudi Arabia,7.72
2015,Saudi Arabia,8.0
2016,Saudi Arabia,7.18
2017,Saudi Arabia,6.36
2018,Saudi Arabia,5.54
2019,Saudi Arabia,4.720000000000001
2020,Saudi Arabia,3.9
2021,Saudi Arabia,4.16
2022,Saudi Arabia,4.42
2023,Saudi Arabia,4.68
2024,Saudi Arabia,4.94
2025,Saudi Arabia,5.2
1980,Spain,23.4
1981,Spain,24.14
1982,Spain,24.88
1983,Spain,25.62
1984,Spain,26.36
1985,Spain,27.1
1986,Spain,27.98
1987,Spain,28.86
1988,Spain,29.740000000000002
1989,Spain,30.62
1990,Spain,31.5
1991,Spain,32.5
1992,Spain,33.5
1993,Spain,34.5
1994,Spain,35.5
1995,Spain,36.5
1996,Spain,37.68
1997,Spain,38.86
1998,Spain,40.04
1999,Spain,41.22
2000,Spain,42.4
2001,Spain,43.74
2002,Spain,45.08
2003,Spain,46.42
2004,Spain,47.76
2005,Spain,49.1
2006,Spain,50.68
2007,Spain,52.26
2008,Spain,53.84
2009,Spain,55.42
2010,Spain,57.0
2011,Spain,58.82
2012,Spain,60.64
2013,Spain,62.459999999999994
2014,Spain,64.28
2015,Spain,66.1
2016,Spain,59.22
2017,Spain,52.339999999999996
2018,Spain,45.46
2019,Spain,38.58
2020,Spain,31.7
2021,Spain,33.94
2022,Spain,36.18
2023,Spain,38.42
2024,Spain,40.66
2025,Spain,42.9
1980,Thailand,1.8
1981,Thailand,1.92
1982,Thailand,2.04
1983,Thailand,2.16
1984,Thailand,2.28
1985,Thailand,2.4
1986,Thailand,2.56
1987,Thailand,2.72
1988,Thailand,2.88
1989,Thailand,3.04
1990,Thailand,3.2
1991,Thailand,3.42
1992,Thailand,3.64
1993,Thailand,3.86
1994,Thailand,4.08
1995,Thailand,4.3
1996,Thailand,4.6
1997,Thailand,4.8999999999999995
1998,Thailand,5.199999999999999
1999,Thailand,5.5
2000,Thailand,5.8
2001,Thailand,6.2
2002,Thailand,6.6
2003,Thailand,7.0
2004,Thailand,7.4
2005,Thailand,7.8
2006,Thailand,8.32
2007,Thailand,8.84
2008,Thailand,9.36
2009,Thailand,9.88
2010,Thailand,10.4
2011,Thailand,11.120000000000001
2012,Thailand,11.84
2013,Thailand,12.56
2014,Thailand,13.280000000000001
2015,Thailand,14.0
2016,Thailand,12.54
2017,Thailand,11.08
2018,Thailand,9.620000000000001
2019,Thailand,8.16
2020,Thailand,6.7
2021,Thailand,7.16
2022,Thailand,7.62
2023,Thailand,8.08
2024,Thailand,8.54
2025,Thailand,9.0
1980,Turkey,1.3
1981,Turkey,1.42
1982,Turkey,1.54
1983,Turkey,1.66
1984,Turkey,1.7799999999999998
1985,Turkey,1.9
1986,Turkey,2.06
1987,Turkey,2.22
1988,Turkey,2.38
1989,Turkey,2.54
1990,Turkey,2.7
1991,Turkey,2.96
1992,Turkey,3.22
1993,Turkey,3.48
1994,Turkey,3.74
1995,Turkey,4.0
1996,Turkey,4.34
1997,Turkey,4.68
1998,Turkey,5.02
1999,Turkey,5.36
2000,Turkey,5.7
2001,Turkey,6.220000000000001
2002,Turkey,6.74
2003,Turkey,7.260000000000001
2004,Turkey,7.780000000000001
2005,Turkey,8.3
2006,Turkey,9.06
2007,Turkey,9.82
2008,Turkey,10.58
2009,Turkey,11.34
2010,Turkey,12.1
2011,Turkey,13.18
2012,Turkey,14.26
2013,Turkey,15.34
2014,Turkey,16.42
2015,Turkey,17.5
2016,Turkey,15.68
2017,Turkey,13.86
2018,Turkey,12.040000000000001
2019,Turkey,10.22
2020,Turkey,8.4
2021,Turkey,9.0
2022,Turkey,9.6
2023,Turkey,10.2
2024,Turkey,10.8
2025,Turkey,11.4
1980,United Kingdom,11.9
1981,United Kingdom,12.24
1982,United Kingdom,12.58
1983,United Kingdom,12.92
1984,United Kingdom,13.26
1985,United Kingdom,13.6
1986,United Kingdom,13.98
1987,United Kingdom,14.36
1988,United Kingdom,14.74
1989,United Kingdom,15.12
1990,United Kingdom,15.5
1991,United Kingdom,15.92
1992,United Kingdom,16.34
1993,United Kingdom,16.76
1994,United Kingdom,17.18
1995,United Kingdom,17.6
1996,United Kingdom,18.1
1997,United Kingdom,18.6
1998,United Kingdom,19.1
1999,United Kingdom,19.6
2000,United Kingdom,20.1
2001,United Kingdom,20.66
2002,United Kingdom,21.22
2003,United Kingdom,21.78
2004,United Kingdom,22.34
2005,United Kingdom,22.9
2006,United Kingdom,23.54
2007,United Kingdom,24.18
2008,United Kingdom,24.82
2009,United Kingdom,25.46
2010,United Kingdom,26.1
2011,United Kingdom,26.84
2012,United Kingdom,27.580000000000002
2013,United Kingdom,28.32
2014,United Kingdom,29.060000000000002
2015,United Kingdom,29.8
2016,United Kingdom,26.7
2017,United Kingdom,23.6
2018,United Kingdom,20.5
2019,United Kingdom,17.4
2020,United Kingdom,14.3
2021,United Kingdom,15.3
2022,United Kingdom,16.3
2023,United Kingdom,17.3
2024,United Kingdom,18.3
2025,United Kingdom,19.3
1980,United States,22.0
1981,United States,22.74
1982,United States,23.48
1983,United States,24.22
1984,United States,24.96
1985,United States,25.7
1986,United States,26.58
1987,United States,27.46
1988,United States,28.34
1989,United States,29.220000000000002
1990,United States,30.1
1991,United States,31.12
1992,United States,32.14
1993,United States,33.160000000000004
1994,United States,34.18
1995,United States,35.2
1996,United States,36.400000000000006
1997,United States,37.6
1998,United States,38.800000000000004
1999,United States,40.0
2000,United States,41.2
2001,United States,42.6
2002,United States,44.0
2003,United States,45.400000000000006
2004,United States,46.800000000000004
2005,United States,48.2
2006,United States,49.84
2007,United States,51.480000000000004
2008,United States,53.120000000000005
2009,United States,54.76
2010,United States,56.4
2011,United States,58.32
2012,United States,60.24
2013,United States,62.16
2014,United States,64.08
2015,United States,66.0
2016,United States,59.14
2017,United States,52.28
2018,United States,45.42
2019,United States,38.56
2020,United States,31.7
2021,United States,33.92
2022,United States,36.14
2023,United States,38.36
2024,United States,40.58
2025,United States,42.8
1980,Vietnam,0.3
1981,Vietnam,0.33999999999999997
1982,Vietnam,0.38
1983,Vietnam,0.42
1984,Vietnam,0.45999999999999996
1985,Vietnam,0.5
1986,Vietnam,0.56
1987,Vietnam,0.62
1988,Vietnam,0.68
1989,Vietnam,0.74
1990,Vietnam,0.8
1991,Vietnam,0.9
1992,Vietnam,1.0
1993,Vietnam,1.1
1994,Vietnam,1.2000000000000002
1995,Vietnam,1.3
1996,Vietnam,1.48
1997,Vietnam,1.6600000000000001
1998,Vietnam,1.84
1999,Vietnam,2.02
2000,Vietnam,2.2
2001,Vietnam,2.5
2002,Vietnam,2.8000000000000003
2003,Vietnam,3.1
2004,Vietnam,3.4000000000000004
2005,Vietnam,3.7
2006,Vietnam,4.18
2007,Vietnam,4.66
2008,Vietnam,5.14
2009,Vietnam,5.619999999999999
2010,Vietnam,6.1
2011,Vietnam,6.88
2012,Vietnam,7.66
2013,Vietnam,8.44
2014,Vietnam,9.219999999999999
2015,Vietnam,10.0
2016,Vietnam,8.96
2017,Vietnam,7.92
2018,Vietnam,6.88
2019,Vietnam,5.84
2020,Vietnam,4.8
2021,Vietnam,5.14
2022,Vietnam,5.4799999999999995
2023,Vietnam,5.82
2024,Vietnam,6.16
2025,Vietnam,6.5
